corner_index,x,y
0,416.513245,286.851990
1,393.392059,281.869385
2,369.967316,276.764099
3,346.079712,271.767365
4,321.791718,266.586914
5,297.289246,261.510468
6,272.499878,256.292633
7,247.862625,251.384354
8,223.232727,246.149048
9,421.333862,262.515961
10,398.463501,257.424713
11,375.043182,252.299942
12,351.271606,247.241531
13,326.738129,241.904968
14,302.339111,236.922653
15,277.632538,231.702408
16,252.905655,226.478943
17,228.178589,221.462326
18,426.272095,238.269806
19,403.588440,233.124573
20,379.889404,227.954926
21,356.286835,222.565811
22,331.946533,217.247162
23,307.390137,212.195236
24,282.715088,206.827545
25,257.808838,201.673569
26,233.135666,196.731247
27,430.473480,213.875793
28,406.287933,209.311401
29,382.379883,204.454895
30,359.289886,198.856064
31,336.428680,192.996063
32,312.405853,187.374435
33,287.499207,182.340912
34,262.862488,177.123306
35,238.057526,172.200256
36,433.485718,190.257889
37,409.008606,185.834259
38,385.165924,181.223145
39,361.916229,175.741608
40,338.696869,169.852142
41,316.727509,163.256561
42,292.541534,157.676163
43,267.803406,152.582062
44,243.003891,147.818588
45,436.605133,166.621048
46,412.264404,162.520309
47,387.960083,158.195999
48,364.648163,152.745377
49,342.416565,146.688644
50,321.099518,139.509521
51,297.306122,133.557343
52,272.629303,128.483337
53,248.205948,123.486664
