corner_index,x,y
0,522.569641,203.929993
1,505.279297,213.463181
2,487.421906,223.218155
3,468.996643,232.983658
4,450.251770,243.058029
5,430.628540,253.222977
6,410.856964,263.538391
7,390.861115,274.215698
8,370.557434,285.109375
9,514.553589,182.411819
10,497.208466,191.802017
11,479.346375,201.390503
12,460.757599,210.842804
13,441.576965,220.860413
14,422.166534,231.047485
15,402.347382,241.255936
16,382.235931,251.680923
17,361.597382,262.606323
18,505.751587,160.879837
19,488.908478,169.822372
20,470.595154,179.379745
21,452.054565,188.710251
22,432.705414,198.616730
23,413.056030,208.515564
24,392.982239,218.786194
25,372.714539,229.172287
26,352.001740,239.894028
27,496.387329,139.226913
28,476.939697,148.814926
29,457.893066,158.481400
30,439.697815,167.631882
31,421.874146,176.538528
32,403.141479,186.104782
33,382.780701,196.227310
34,362.433289,206.446411
35,341.485596,216.946121
36,485.197205,118.217873
37,465.306763,127.917290
38,445.902649,137.600632
39,427.256500,146.708206
40,409.140656,155.654678
41,391.389496,164.239914
42,371.913513,173.628342
43,351.414490,183.851715
44,330.423492,194.271835
45,474.208191,97.231438
46,454.098602,107.027824
47,434.223816,116.729515
48,415.182861,125.933731
49,397.224213,134.526367
50,379.866180,142.491119
51,360.512756,151.545654
52,340.179474,161.436844
53,319.253510,171.572021
