corner_index,x,y
0,433.438751,271.322327
1,405.611450,272.912750
2,378.328522,274.478638
3,351.775055,276.198700
4,325.376556,277.838165
5,299.748871,279.590729
6,274.010590,281.110565
7,248.336411,282.734375
8,223.460907,284.322327
9,431.026978,244.166336
10,403.272827,245.782272
11,376.232635,247.713165
12,349.518250,249.608246
13,323.279358,251.492630
14,297.568909,253.283218
15,271.808655,254.958679
16,246.564285,256.737701
17,221.462280,258.522095
18,428.257141,217.021286
19,401.038574,219.245880
20,374.041229,221.262726
21,347.501282,223.319626
22,321.415466,225.432449
23,295.590210,227.393738
24,269.965332,229.044144
25,244.584610,230.992081
26,219.412460,232.763870
27,425.907623,190.320099
28,398.758331,192.569336
29,372.002777,194.879868
30,345.530426,197.028915
31,319.349762,199.365494
32,293.727448,201.351898
33,267.774811,203.429016
34,242.604675,205.092758
35,217.439835,207.046173
36,423.711945,163.787384
37,396.631287,166.333908
38,369.835632,168.667297
39,343.702576,170.996887
40,317.640839,173.322098
41,291.795227,175.489044
42,266.222870,177.510406
43,240.690796,179.610413
44,215.546036,181.390671
45,421.459717,137.514984
46,394.470612,140.180649
47,368.040924,142.714554
48,341.942413,145.320908
49,315.921661,147.809814
50,290.179291,150.038467
51,264.386017,152.136475
52,238.871445,154.103134
53,213.576187,156.104248
