corner_index,x,y
0,339.954041,307.498260
1,315.740845,298.127075
2,292.502258,289.040680
3,269.778992,280.263885
4,247.872177,271.633575
5,225.556107,263.244141
6,203.497070,255.120636
7,181.220779,246.896912
8,159.372849,239.012009
9,348.949799,282.691254
10,324.988037,273.587402
11,301.463745,264.890747
12,278.429016,256.270355
13,255.652939,247.826920
14,233.515213,239.616547
15,210.808701,231.473251
16,188.485519,223.536011
17,166.233688,215.953964
18,357.593567,257.568176
19,333.544800,248.956772
20,309.919098,240.398529
21,286.509613,232.095276
22,263.746277,223.787949
23,241.038712,215.968353
24,218.334518,207.848831
25,195.548431,200.205948
26,173.176102,192.667953
27,366.445923,232.547943
28,342.229614,224.192169
29,318.379517,215.821930
30,295.085785,207.772644
31,271.610107,199.783356
32,248.753036,191.890167
33,225.521606,184.352295
34,202.739883,176.533676
35,179.858444,169.215942
36,375.354248,207.506897
37,350.768768,199.378036
38,326.637817,191.222870
39,303.183380,183.491669
40,279.691071,175.538300
41,256.328217,167.984177
42,232.860916,160.255402
43,209.688751,152.819199
44,186.736237,145.492340
45,383.621216,182.329926
46,359.305847,174.503891
47,335.075745,166.559570
48,311.392731,158.919785
49,287.646240,151.422394
50,263.805420,143.816315
51,240.235474,136.411758
52,216.658707,129.137207
53,193.542343,121.976295
