corner_index,x,y
0,329.794769,273.105377
1,302.999817,274.262573
2,276.411285,275.518188
3,250.525589,277.030945
4,225.187668,278.123871
5,200.283203,279.406738
6,175.330078,280.541779
7,150.680740,281.667023
8,126.620132,282.516510
9,328.219818,245.990540
10,301.681030,247.176849
11,275.428833,248.762161
12,249.641953,250.134949
13,224.118332,251.557968
14,199.473083,253.109253
15,174.345734,254.473099
16,149.654739,255.558655
17,125.572388,256.810791
18,326.610596,218.687027
19,300.334167,220.531799
20,274.221252,222.312714
21,248.594254,223.832199
22,223.419220,225.358032
23,198.392288,226.986832
24,173.519043,228.343536
25,148.802231,229.953262
26,124.660835,231.167969
27,325.121399,191.882812
28,299.019836,193.959641
29,273.267517,195.931503
30,247.640625,197.645950
31,222.482986,199.498260
32,197.518875,201.279617
33,172.692810,202.799881
34,148.040527,204.293518
35,123.758347,205.857590
36,323.732208,165.413788
37,297.612915,167.824905
38,272.096375,169.901749
39,246.696991,171.817413
40,221.606384,173.682022
41,196.673599,175.487045
42,171.600449,177.356277
43,147.072678,178.921082
44,122.753319,180.604889
45,322.343750,139.089417
46,296.512970,141.559647
47,270.788208,144.162613
48,245.740677,146.258392
49,220.658417,148.386124
50,195.603043,150.171051
51,170.670120,151.833572
52,146.146072,153.591721
53,122.162643,155.493683
