corner_index,x,y
0,453.878845,267.332092
1,435.331055,269.145233
2,416.282715,270.811646
3,396.671631,272.563965
4,376.308167,274.439667
5,354.932465,276.212036
6,333.049988,278.153076
7,310.723450,280.103424
8,287.683105,281.900970
9,453.590240,243.677094
10,435.445099,245.338486
11,416.337433,246.820190
12,396.574951,248.351913
13,375.785126,250.057541
14,354.337463,251.602768
15,332.614868,253.172440
16,310.274750,254.709320
17,286.924500,256.630096
18,453.342896,220.368713
19,435.196991,221.676559
20,415.849945,222.918045
21,396.314301,224.185760
22,375.573090,225.459625
23,353.927521,226.790787
24,331.822754,228.280746
25,309.198578,229.739990
26,286.147034,231.305420
27,452.221985,196.717667
28,431.941559,197.817261
29,412.010834,199.067886
30,392.759216,200.089127
31,373.683563,200.785706
32,353.264832,201.740753
33,331.109619,203.056870
34,308.171478,204.361420
35,284.757782,205.653717
36,449.784119,173.409256
37,429.060608,174.493744
38,408.786194,175.438370
39,389.165283,176.381638
40,369.570801,176.956161
41,351.062988,177.367874
42,329.605377,178.059097
43,306.661530,178.819977
44,283.440186,179.832184
45,447.449738,150.121552
46,426.556854,151.035675
47,405.753418,151.935944
48,385.645508,152.707001
49,366.805878,152.835144
50,348.774445,152.550461
51,327.733948,153.066269
52,305.273254,153.635742
53,281.887878,154.578293
