corner_index,x,y
0,322.560028,217.134918
1,343.726349,205.229980
2,365.581909,192.976669
3,387.815613,180.553421
4,410.482697,167.931961
5,433.530426,155.114807
6,457.243744,142.127274
7,481.364441,128.783859
8,506.429260,115.305412
9,333.474518,239.772385
10,355.369385,227.752945
11,377.442871,215.779068
12,399.749115,203.600830
13,422.830109,191.121750
14,446.304871,178.464081
15,470.378967,165.574463
16,494.920532,152.586594
17,520.238037,139.160828
18,344.966888,262.527435
19,366.929565,250.878586
20,389.404144,238.939301
21,412.027710,226.914124
22,435.431976,214.626709
23,459.287994,202.263290
24,483.737885,189.607697
25,508.563477,176.633362
26,534.319214,163.355637
27,356.033173,285.759796
28,378.461426,274.240845
29,401.242340,262.588806
30,424.465698,250.680161
31,448.088745,238.590622
32,472.326752,226.360123
33,497.115845,213.899323
34,522.557556,201.254379
35,548.466614,188.148300
36,365.893494,309.140625
37,389.241577,297.992188
38,412.620117,286.584839
39,436.393921,274.882477
40,460.805603,263.084808
41,485.351959,250.920670
42,510.766510,238.652206
43,536.354248,226.019257
44,562.459534,213.046478
45,375.050537,332.468597
46,399.448547,321.703766
47,423.694153,310.780914
48,448.312286,299.474030
49,473.221680,287.777679
50,498.485260,275.907043
51,524.101929,263.675964
52,550.059631,251.137619
53,575.946472,238.161575
