corner_index,x,y
0,229.952652,181.928848
1,246.654709,174.372238
2,262.668213,166.881439
3,278.485168,159.760559
4,293.560333,152.746841
5,309.290131,145.506760
6,326.359863,136.600159
7,344.055420,126.758736
8,362.239960,116.614655
9,239.821564,202.424164
10,256.461212,194.530960
11,272.607727,186.672867
12,288.415131,179.233139
13,304.412781,171.416733
14,320.570099,163.422348
15,337.520050,154.387802
16,354.926300,144.771194
17,372.708435,134.876312
18,250.586533,222.483246
19,267.214478,214.258026
20,283.315918,205.997681
21,299.547974,197.896729
22,315.616882,189.754852
23,331.924255,181.417618
24,348.788574,172.247437
25,366.053741,162.684250
26,383.647369,152.875122
27,261.965057,242.227615
28,278.344086,233.682266
29,294.632172,225.272934
30,310.763580,216.713348
31,327.095520,208.372559
32,343.409973,199.514511
33,360.222687,190.297256
34,377.348419,180.592621
35,394.728363,170.899948
36,273.295898,262.256409
37,289.789642,253.318024
38,306.231293,244.443161
39,322.386566,235.647217
40,338.580292,226.798828
41,354.947479,217.727158
42,371.825012,208.338409
43,388.754089,198.693069
44,406.068024,188.815506
45,284.989502,282.139160
46,301.485260,272.757019
47,317.826691,263.615601
48,334.027863,254.538437
49,350.310791,245.453369
50,366.643372,236.058685
51,383.471680,226.489212
52,400.380127,216.799973
53,417.540466,207.065384
