corner_index,x,y
0,482.654999,252.313736
1,454.612152,259.433960
2,427.165863,266.632416
3,400.238617,273.705475
4,373.417816,280.744781
5,347.057770,287.664734
6,320.991791,294.563385
7,294.962006,301.573700
8,269.138275,308.326660
9,473.997589,225.724258
10,446.415955,233.106033
11,419.254333,240.305237
12,392.438446,247.446899
13,365.879974,254.570633
14,339.684601,261.759674
15,313.666168,268.694763
16,287.908478,275.560699
17,262.095184,282.349792
18,465.538574,199.399689
19,438.201324,206.951569
20,411.423370,214.392593
21,384.726532,221.605408
22,358.528961,228.782959
23,332.586975,236.109756
24,306.583649,243.111267
25,281.070709,249.842636
26,255.283005,256.754456
27,457.167694,173.439957
28,430.213501,181.098801
29,403.578949,188.655457
30,377.358521,196.204727
31,351.254852,203.470825
32,325.462006,210.544052
33,299.593475,217.595276
34,274.092560,224.352676
35,248.465561,231.292114
36,449.191650,147.956284
37,422.434448,155.639069
38,395.895386,163.461319
39,369.918945,170.872833
40,344.177551,178.395538
41,318.378357,185.408707
42,292.627838,192.373657
43,267.167664,199.290039
44,241.563477,205.780991
45,441.231964,122.738235
46,414.582184,130.586426
47,388.487061,138.350372
48,362.692413,146.248322
49,337.206909,153.655289
50,311.421997,160.593918
51,285.691986,167.360977
52,260.182373,174.177063
53,234.760956,180.739761
