corner_index,x,y
0,253.559052,133.605896
1,276.340271,139.954865
2,298.814240,146.346436
3,321.207306,152.601410
4,343.464600,158.857483
5,365.824890,164.815308
6,389.347443,170.104050
7,412.906677,174.616257
8,436.737610,178.787415
9,247.416214,156.853287
10,270.165558,163.086411
11,292.600464,169.360153
12,315.143890,175.536804
13,337.795593,181.696747
14,360.625366,187.598846
15,384.222229,192.844391
16,407.893738,197.645340
17,432.028137,202.222046
18,241.089981,180.164368
19,264.008728,186.395950
20,286.687286,192.423935
21,309.478699,198.414780
22,332.439911,204.486893
23,355.321014,210.296997
24,379.100006,215.722595
25,402.802002,220.605423
26,427.207458,225.614304
27,235.280853,203.512680
28,258.169830,209.504013
29,281.235687,215.599792
30,304.151276,221.533890
31,327.037292,227.561234
32,350.351044,233.194672
33,373.802307,238.643478
34,397.755859,244.017059
35,422.141846,249.269394
36,229.455032,226.797455
37,252.544052,232.681076
38,275.542877,238.731125
39,298.624603,244.646210
40,321.767731,250.604584
41,345.063293,256.387665
42,368.748260,261.839874
43,392.662476,267.420288
44,417.221527,272.831635
45,223.692123,250.294525
46,246.948776,256.239746
47,270.156494,262.047424
48,293.293701,267.903625
49,316.519318,273.953979
50,339.983185,279.571259
51,363.738312,285.398193
52,387.730408,290.911072
53,412.310699,296.592438
