corner_index,x,y
0,179.185654,153.714417
1,205.825989,154.293594
2,233.430023,155.622787
3,260.852173,157.457428
4,288.699860,160.127319
5,315.968811,162.756592
6,344.044769,165.403702
7,372.144958,167.290634
8,400.685120,168.493042
9,175.476303,178.167969
10,203.087021,180.201553
11,230.702011,182.192245
12,258.613434,184.618271
13,286.565552,187.421600
14,313.795471,190.182983
15,341.817108,192.669113
16,370.266449,194.722672
17,399.147034,196.587387
18,172.384674,205.164413
19,200.377060,207.229813
20,228.431076,209.525009
21,256.382935,212.248154
22,284.032013,214.810135
23,311.755676,217.691605
24,339.721039,220.262939
25,368.428680,222.456100
26,397.393707,224.507980
27,169.508835,232.565643
28,197.696426,234.975021
29,225.889999,237.436218
30,253.687469,240.021973
31,281.879395,242.751907
32,309.659027,245.448288
33,337.800262,248.074585
34,366.457947,250.494553
35,395.604797,252.797104
36,166.847137,260.738068
37,195.070312,263.263763
38,223.399094,265.824005
39,251.500565,268.375305
40,279.631683,271.097076
41,307.446503,273.609589
42,335.959717,276.214844
43,364.771912,278.708405
44,393.783875,281.295685
45,164.278473,289.118134
46,192.533508,291.531555
47,220.809143,294.347321
48,249.293839,296.828400
49,277.467194,299.482269
50,305.541443,302.143280
51,334.251312,304.686218
52,363.173676,307.457733
53,392.208832,309.905426
