corner_index,x,y
0,325.127197,286.947906
1,301.578674,281.774475
2,277.673981,276.707458
3,253.269989,271.224762
4,228.719162,265.713898
5,203.967529,260.602661
6,179.445999,254.959183
7,154.631210,249.658630
8,130.576141,244.376328
9,329.942719,262.460541
10,306.677155,257.225311
11,282.624634,251.712418
12,258.695801,246.298706
13,233.993149,240.926941
14,209.493134,235.586212
15,184.651352,230.173660
16,160.316132,224.941895
17,135.688980,219.530060
18,334.734863,238.069214
19,311.712860,232.641846
20,287.723358,227.233261
21,263.778900,221.768326
22,239.417648,216.431137
23,214.644180,210.865326
24,190.170822,205.453308
25,165.483887,199.996368
26,141.352737,194.856552
27,339.448639,213.853485
28,315.075623,209.256683
29,290.963837,203.923599
30,267.467529,198.238739
31,244.216064,192.162628
32,220.265274,186.348419
33,195.571121,180.886368
34,171.116699,175.690018
35,146.745163,170.501434
36,343.064423,190.299011
37,318.739349,185.670685
38,294.569061,180.767883
39,271.250031,175.320801
40,247.616486,169.240067
41,225.207214,162.409378
42,200.784836,156.673828
43,176.471375,151.508438
44,152.365997,146.372177
45,346.776489,166.664993
46,322.367157,162.545502
47,298.226868,158.128540
48,274.776367,152.528931
49,252.164688,146.317581
50,230.199417,138.821854
51,206.125793,132.861176
52,181.965134,127.484947
53,157.971771,122.453247
