corner_index,x,y
0,379.919373,271.662048
1,354.564667,270.815369
2,329.211853,269.759827
3,303.290741,268.836609
4,277.429382,267.663544
5,251.510330,267.020874
6,225.304306,265.824982
7,199.515518,265.069397
8,173.461517,264.206573
9,381.132141,245.844238
10,355.768951,244.773056
11,330.192505,243.834488
12,304.399445,242.798691
13,278.304565,241.782883
14,252.496887,240.869843
15,226.595490,239.860794
16,200.466629,238.976761
17,174.367798,238.028931
18,381.711884,220.011490
19,356.663574,218.871674
20,330.981049,218.177078
21,305.496887,216.748734
22,279.474548,215.813858
23,253.496109,214.882507
24,227.707825,214.045593
25,201.574921,213.112671
26,175.529953,212.108185
27,382.263092,194.338776
28,355.789246,194.217087
29,330.055359,193.838654
30,304.941986,192.406326
31,279.879913,190.517090
32,254.566528,189.171829
33,228.465744,188.382050
34,202.636673,187.307907
35,176.767181,186.607513
36,381.446289,169.288437
37,355.319092,169.610428
38,329.573212,169.638779
39,304.394409,168.521835
40,279.288025,166.828995
41,255.001297,164.348450
42,229.402466,162.914673
43,203.695404,162.161652
44,177.952713,161.452789
45,380.622467,144.613495
46,354.717407,145.284241
47,329.168884,145.589706
48,303.738403,145.133728
49,279.293976,143.219070
50,255.638809,139.870468
51,230.259003,138.336670
52,204.715317,137.270889
53,179.250824,136.488358
