corner_index,x,y
0,229.885529,216.978775
1,250.211578,205.170258
2,271.091736,192.849762
3,292.421844,180.480118
4,314.036102,167.772858
5,336.325134,154.795639
6,359.011047,141.619293
7,382.173096,128.071030
8,405.611145,114.376160
9,239.922119,239.675232
10,260.943176,227.622284
11,282.226135,215.725983
12,303.631836,203.435516
13,325.768890,190.996277
14,348.355225,178.209747
15,371.484100,165.138519
16,394.951904,151.622498
17,418.708710,138.101013
18,250.592133,262.444000
19,271.841827,250.748428
20,293.503662,238.762619
21,314.930145,226.735138
22,337.602417,214.365402
23,360.468323,201.790176
24,383.898743,188.902557
25,407.848328,175.772644
26,432.018646,162.234711
27,260.630310,285.878662
28,282.394104,274.448181
29,304.319733,262.463165
30,326.620331,250.546127
31,349.352936,238.374847
32,372.666718,225.890472
33,396.484894,213.152527
34,420.730286,200.027222
35,445.345917,186.728516
36,269.098389,309.361450
37,291.767975,298.154266
38,314.558533,286.498901
39,337.532379,274.693634
40,361.152832,262.753357
41,384.700592,250.393219
42,409.020142,237.688141
43,433.482452,224.880005
44,458.504272,211.713318
45,276.483002,332.686127
46,300.460114,321.953644
47,324.194275,310.841705
48,348.070984,299.362885
49,372.319214,287.459167
50,396.588837,275.323639
51,421.272797,262.778900
52,446.352753,250.129135
53,471.560608,236.990265
