corner_index,x,y
0,277.879028,153.343887
1,305.598389,153.603195
2,333.571289,155.139328
3,361.751068,157.375839
4,389.415863,160.142609
5,416.651489,163.292343
6,444.388031,166.298370
7,472.912994,168.538864
8,502.451416,170.457230
9,275.541016,177.634216
10,303.749176,179.452499
11,331.697601,181.782471
12,359.846313,184.366837
13,387.506409,187.421646
14,414.700165,190.500870
15,442.668427,193.348114
16,471.357422,196.057587
17,500.909912,198.242218
18,273.461182,204.404724
19,301.626160,206.597549
20,329.816833,209.296158
21,357.942719,212.243454
22,385.462524,215.046417
23,412.939270,217.989044
24,441.016693,220.881714
25,469.738281,223.616119
26,499.321533,226.304855
27,271.194275,231.823395
28,299.462708,234.518463
29,327.799042,237.198898
30,355.785034,239.864395
31,383.584534,242.816238
32,411.250458,245.856995
33,439.475708,248.639343
34,468.390869,251.585068
35,497.803802,254.324860
36,269.082092,260.105957
37,297.507111,262.638672
38,325.966614,265.297333
39,353.823944,268.205597
40,381.741119,271.060181
41,409.589111,273.776245
42,438.113373,276.817047
43,466.936066,279.666534
44,496.510498,282.701477
45,267.184021,288.447113
46,295.629547,290.845215
47,324.103333,293.690521
48,352.201111,296.603424
49,380.176147,299.318390
50,408.269745,302.170288
51,436.731689,305.250305
52,465.716034,308.195038
53,495.320892,311.059906
