corner_index,x,y
0,375.128632,265.856720
1,346.706757,270.055817
2,319.201080,273.933502
3,292.030151,277.970306
4,265.237122,282.053802
5,238.995682,285.840790
6,212.682922,289.661713
7,186.719513,293.543976
8,161.307907,297.148682
9,370.851685,237.550095
10,342.879150,241.864166
11,315.353363,246.291397
12,288.461029,250.440109
13,261.724640,254.620728
14,235.714417,258.668304
15,209.450150,262.647888
16,183.635193,266.619232
17,158.162277,270.524811
18,366.378571,209.480972
19,338.687103,214.370728
20,311.595428,218.731598
21,284.685577,223.219208
22,258.320526,227.536682
23,232.310760,231.826126
24,206.233490,236.042450
25,180.420410,240.161545
26,154.739532,244.012299
27,362.072449,181.715485
28,334.561829,186.846161
29,307.611145,191.609131
30,280.945374,196.322266
31,254.704010,200.868179
32,228.611542,205.304749
33,202.756790,209.514130
34,176.968857,213.571320
35,151.358017,217.947449
36,357.669769,154.378418
37,330.432953,159.648605
38,303.518494,164.866486
39,277.227356,169.624893
40,251.167099,174.468903
41,225.186096,178.864304
42,199.163040,183.209488
43,173.454895,187.592987
44,147.838516,191.668167
45,353.270142,127.312302
46,326.283966,132.778580
47,299.603424,138.214996
48,273.401154,143.442322
49,247.407547,148.350037
50,221.549210,152.698441
51,195.535233,157.299057
52,169.754501,161.628723
53,144.562653,166.138519
