corner_index,x,y
0,422.364868,261.589081
1,395.910645,266.461792
2,369.913605,271.352905
3,344.069336,275.781464
4,318.848236,280.445465
5,293.758118,285.204834
6,269.353333,289.489075
7,245.172134,294.004639
8,221.366592,298.430634
9,416.697144,235.510986
10,390.458954,240.660187
11,364.392212,245.573563
12,338.800262,250.473404
13,313.494019,255.009720
14,288.817169,259.758148
15,264.268280,264.624054
16,240.301193,269.367554
17,216.423828,273.856934
18,411.317627,209.808258
19,385.063354,214.943253
20,358.899017,220.142761
21,333.444977,225.146622
22,308.353851,230.015869
23,283.616699,235.103058
24,259.294617,239.803604
25,235.373306,244.674042
26,211.715561,249.363068
27,405.700470,184.126282
28,379.758636,189.825150
29,354.150360,195.303391
30,328.675964,200.420792
31,303.422913,205.244232
32,278.603210,210.110779
33,254.526062,215.266327
34,230.854279,220.143204
35,207.330902,224.972168
36,400.132782,158.991562
37,374.649109,165.043884
38,349.365540,170.712677
39,324.151489,176.249023
40,299.115692,181.133652
41,274.280121,185.691864
42,249.931366,190.664581
43,226.468903,195.823700
44,203.070236,200.983627
45,394.516479,134.293457
46,369.318176,140.515274
47,344.436768,146.475784
48,319.557800,152.372818
49,294.522888,156.942245
50,269.831543,161.516449
51,245.643753,166.713821
52,222.155670,171.898193
53,198.616516,177.197495
