corner_index,x,y
0,168.646423,139.356979
1,190.606277,140.733032
2,212.185104,142.194595
3,233.326614,143.586273
4,253.973999,145.009399
5,274.070282,146.465790
6,295.039581,147.430481
7,316.484222,147.767181
8,338.333160,148.175186
9,168.533447,163.059494
10,190.721054,164.324326
11,211.907639,165.488144
12,233.203262,166.709229
13,254.216461,168.010056
14,274.591370,169.030609
15,295.583252,169.821762
16,317.185486,170.173828
17,338.662140,170.548431
18,168.637680,187.037033
19,190.659744,187.953339
20,212.189407,189.136856
21,233.617325,190.061951
22,254.478699,190.786530
23,275.385529,191.747940
24,296.561310,192.336731
25,317.807190,192.539551
26,339.357758,192.858185
27,168.508087,211.338638
28,190.447220,211.833282
29,212.337555,212.760666
30,233.903259,213.313019
31,255.031937,214.078293
32,276.342102,214.573074
33,297.602234,214.771591
34,318.710266,215.218582
35,340.325409,215.423874
36,168.335281,235.641479
37,190.551025,236.056183
38,212.652390,236.536072
39,234.478058,236.924271
40,255.833115,237.257629
41,277.227325,237.521118
42,298.423737,237.757767
43,319.866669,238.096802
44,341.411469,238.209625
45,168.575378,260.245819
46,191.157486,260.291443
47,213.394669,260.462524
48,235.035004,260.649384
49,256.786102,260.819336
50,278.155151,260.919464
51,299.789032,260.955688
52,321.107178,261.094269
53,342.497559,260.858978
