corner_index,x,y
0,384.698792,275.744751
1,363.012665,274.697998
2,342.421204,273.593567
3,322.925842,272.409088
4,304.417877,271.428772
5,286.860291,270.426605
6,270.078552,269.529083
7,253.631195,268.306122
8,238.442139,267.589935
9,381.584961,249.341461
10,359.762085,248.840469
11,339.140991,248.339005
12,319.602203,247.595413
13,301.248779,247.033463
14,283.693726,246.518341
15,266.680237,245.864838
16,250.741821,245.384583
17,235.298737,245.205002
18,378.619720,222.708542
19,356.565399,222.741852
20,336.187592,222.748276
21,316.493256,222.785400
22,297.822083,222.728760
23,280.462708,222.714417
24,263.633850,222.578995
25,247.695923,222.703278
26,232.545944,222.377045
27,376.001923,195.887314
28,355.490753,196.499603
29,335.597687,197.185150
30,315.918365,197.747253
31,296.410339,198.281616
32,278.110779,198.632462
33,261.239441,199.141251
34,245.419693,199.388321
35,230.339401,199.617599
36,374.160217,169.250336
37,354.525909,170.321396
38,334.664703,171.397232
39,315.379089,172.475067
40,296.163147,173.567856
41,277.320526,174.548508
42,259.234985,175.321960
43,243.416489,176.394836
44,228.065994,176.767105
45,372.337891,142.420944
46,352.715576,144.244949
47,333.757385,145.728027
48,314.470825,147.471191
49,295.194916,148.833893
50,275.776154,150.416443
51,257.709412,151.711899
52,241.282242,152.848160
53,225.787582,154.216782
