corner_index,x,y
0,287.160706,188.660431
1,308.332184,177.727219
2,329.344513,167.339767
3,349.864258,156.807800
4,369.866455,146.749207
5,389.538300,136.775162
6,409.258392,126.867355
7,428.544037,117.406662
8,447.925293,107.860039
9,298.662476,210.093430
10,319.557098,199.284790
11,340.035431,188.631470
12,360.067139,178.247574
13,379.429504,168.201172
14,398.579285,158.174835
15,418.341919,148.177917
16,437.385223,138.583405
17,456.872345,128.939774
18,309.482666,231.547089
19,330.002472,220.742050
20,350.125793,210.050751
21,369.710510,199.629913
22,388.913971,189.449326
23,408.228149,179.320938
24,427.403534,169.374237
25,446.641113,159.491623
26,466.088379,149.790771
27,319.845398,253.190796
28,340.057068,242.233505
29,359.702026,231.544113
30,379.317444,220.957016
31,398.566620,210.525253
32,417.722198,200.279205
33,436.964233,190.288651
34,456.145721,180.327194
35,475.287720,170.607452
36,329.935760,274.525848
37,350.303406,263.562378
38,370.073303,252.725693
39,389.366974,242.172943
40,408.379456,231.562927
41,427.362000,221.224152
42,446.528992,211.139267
43,465.499512,201.084503
44,484.527618,191.374466
45,339.545837,295.661835
46,360.139954,284.634125
47,379.928162,273.780548
48,399.516083,263.201172
49,418.387909,252.496078
50,437.097443,242.133347
51,456.006958,231.936783
52,474.965179,221.803482
53,493.939880,212.022125
