corner_index,x,y
0,410.702057,244.158127
1,386.013641,248.795181
2,361.444824,253.586792
3,336.740845,258.059570
4,312.528748,262.546234
5,288.247009,267.133514
6,264.456055,271.214203
7,240.887619,275.419830
8,217.757660,279.462250
9,406.184174,219.124588
10,381.461029,224.079071
11,356.714447,228.765320
12,332.290100,233.491180
13,307.701721,237.891525
14,283.690948,242.455185
15,259.645325,247.055481
16,236.302292,251.426346
17,213.065475,255.603470
18,401.567566,194.352371
19,376.834320,199.147858
20,352.073547,203.920578
21,327.506378,208.671173
22,303.145233,213.383438
23,278.922913,218.184860
24,255.029770,222.618576
25,231.606079,227.231247
26,208.567337,231.508774
27,396.789886,169.355331
28,372.370178,174.559158
29,347.817871,179.570648
30,323.357361,184.347198
31,298.624207,188.793701
32,274.351562,193.415588
33,250.616180,198.299286
34,227.444305,202.833984
35,204.404526,207.471375
36,391.902252,144.822433
37,367.814026,150.320694
38,343.600708,155.484955
39,319.235626,160.447052
40,294.722992,164.886963
41,270.379669,169.241730
42,246.437622,173.847336
43,223.382919,178.754898
44,200.427826,183.604507
45,387.003693,120.654465
46,363.026886,126.325531
47,339.206116,131.574890
48,315.098755,136.820450
49,290.608734,141.007309
50,266.410919,145.218781
51,242.592819,150.096725
52,219.432999,154.988449
53,196.414719,159.925156
