corner_index,x,y
0,288.414581,271.670258
1,267.403412,261.540253
2,247.691177,251.207214
3,228.999619,241.121338
4,211.177063,231.196854
5,194.312805,221.555634
6,178.005325,212.203110
7,162.733612,203.071533
8,148.048584,194.142181
9,295.577454,248.621994
10,274.504395,238.699722
11,254.412048,228.841019
12,235.610031,218.480759
13,217.593048,208.745972
14,200.862595,199.417892
15,184.608749,190.387405
16,169.245880,181.492264
17,154.490494,172.880630
18,303.157562,225.232513
19,281.582642,215.211853
20,261.958099,205.389923
21,242.397934,195.714798
22,224.784439,186.281250
23,207.930237,177.201065
24,191.788437,168.298782
25,176.217926,159.688293
26,161.509995,151.605545
27,311.662903,201.178986
28,293.011139,192.240097
29,273.914215,183.188889
30,253.966049,173.485275
31,233.786133,163.629410
32,215.321930,154.497986
33,199.451416,146.133255
34,184.099899,138.015686
35,169.106705,130.087830
36,322.126373,177.397705
37,303.686798,168.788376
38,285.220551,160.477341
39,265.648682,151.508469
40,245.741669,142.217117
41,225.473618,132.580872
42,207.946671,123.905975
43,192.319382,116.071877
44,177.331711,108.528915
45,332.097748,153.240326
46,313.857605,145.528442
47,296.235901,137.738907
48,276.992859,129.512985
49,256.782898,120.486443
50,235.938889,110.490837
51,217.664551,102.016426
52,201.329987,94.389351
53,185.809372,86.925087
