corner_index,x,y
0,465.601440,245.102676
1,443.931274,244.401855
2,423.113525,243.496552
3,403.063843,242.651810
4,383.857391,241.634903
5,365.486725,240.811554
6,347.694794,239.905914
7,330.489960,239.282471
8,314.133850,238.222168
9,463.511292,219.690323
10,441.562317,219.479889
11,420.518860,219.261780
12,400.493591,218.572128
13,381.324097,218.342758
14,362.859833,217.495712
15,344.958710,217.351059
16,327.803589,216.480728
17,311.371918,216.320740
18,461.384766,194.384827
19,439.340057,194.470428
20,418.366394,194.451874
21,398.125641,194.465302
22,378.645081,194.472488
23,360.114044,194.390167
24,342.430511,194.300110
25,325.374817,194.123672
26,308.835602,193.685776
27,459.493744,168.491150
28,438.594849,168.730057
29,418.111542,169.411728
30,397.619812,169.588409
31,377.517609,170.201920
32,358.120361,170.502365
33,340.056152,170.746338
34,323.152283,171.172989
35,306.982605,171.396973
36,458.190216,142.444473
37,437.719269,143.261734
38,417.488129,144.279343
39,397.276764,144.841568
40,377.355408,145.636078
41,357.571564,146.550674
42,338.412781,147.470047
43,321.310791,148.025818
44,304.919312,148.585449
45,456.645966,116.385239
46,436.440399,117.686218
47,416.596802,119.002113
48,396.516785,120.330330
49,376.542358,121.381737
50,356.316315,122.573975
51,337.303802,123.746811
52,319.532135,124.798180
53,303.004395,125.822685
