corner_index,x,y
0,378.720306,259.810486
1,356.942291,249.738235
2,336.125031,239.812195
3,315.971741,230.017944
4,296.595184,220.336624
5,278.255524,210.919708
6,260.364075,201.618195
7,243.433929,192.585495
8,227.236404,183.715347
9,386.450836,236.755310
10,364.433472,226.839493
11,343.188751,217.123093
12,323.110870,207.384384
13,303.734314,197.869232
14,285.451935,188.677246
15,267.603302,179.668747
16,250.520172,170.697083
17,234.081253,162.256393
18,394.470764,213.274109
19,371.937256,203.701630
20,351.097351,193.917923
21,330.430054,184.464035
22,311.206085,175.110046
23,292.770569,166.146927
24,274.986694,157.254974
25,257.996399,148.916077
26,241.486984,140.700836
27,403.196350,189.273926
28,382.847534,180.479950
29,362.592468,171.605637
30,341.658081,162.106415
31,320.390625,152.456207
32,300.595184,143.281540
33,283.033966,134.983429
34,266.170288,126.722290
35,249.380325,118.748817
36,413.344482,165.334381
37,393.384491,157.190643
38,373.485687,149.027618
39,352.851959,140.112015
40,331.994446,130.710464
41,310.722076,121.131042
42,291.804413,112.412453
43,274.561768,104.550339
44,257.808990,96.969894
45,423.092041,141.283066
46,403.558441,133.655304
47,384.276917,126.212616
48,363.822754,117.974350
49,342.761230,108.781570
50,321.022186,98.881607
51,301.473969,90.314331
52,283.652710,82.525345
53,266.596619,75.278656
