corner_index,x,y
0,349.639313,272.332855
1,323.671844,269.522827
2,298.272247,266.695892
3,272.993652,264.104187
4,247.684204,261.305328
5,223.270248,258.563843
6,198.568008,255.857071
7,174.255157,253.329193
8,150.261414,250.709488
9,352.471710,246.028641
10,326.781982,243.381500
11,301.279053,240.947250
12,275.883942,238.130768
13,250.772232,235.673340
14,226.172638,233.213181
15,201.415955,230.520569
16,177.018356,228.189224
17,152.819901,225.585144
18,355.007416,219.758301
19,329.454742,217.437744
20,304.094452,214.936996
21,278.723114,212.465515
22,253.805099,209.958115
23,228.890625,207.633759
24,204.204300,205.141663
25,179.618744,202.752457
26,155.397385,200.469772
27,357.601196,193.676544
28,331.982666,191.381607
29,306.864868,189.139862
30,281.437286,186.785553
31,256.061981,184.346786
32,231.287491,182.081161
33,206.453125,179.868774
34,181.857162,177.506683
35,157.560623,175.268051
36,360.053650,167.479965
37,334.672180,165.387604
38,309.212189,163.180984
39,283.737732,160.929138
40,258.445190,158.715500
41,233.514008,156.551514
42,208.695435,154.388596
43,183.826431,152.224884
44,159.660339,150.069214
45,362.385406,141.315338
46,337.086853,139.391861
47,311.723724,137.497559
48,285.916260,135.189178
49,260.802094,132.999786
50,235.583282,130.997162
51,210.996353,128.896469
52,186.259262,126.885063
53,161.728455,124.980240
