corner_index,x,y
0,366.470032,248.416916
1,339.461853,252.491760
2,312.898071,256.352722
3,286.573639,260.208344
4,260.470093,263.942810
5,234.967773,267.481110
6,209.462097,270.865387
7,184.249985,274.432892
8,159.315720,277.672852
9,363.103821,220.940369
10,336.355560,225.179932
11,309.649536,229.354660
12,283.460205,233.306549
13,257.359436,237.253693
14,231.911880,240.944824
15,206.332535,244.552109
16,181.243973,248.168991
17,156.276764,251.684937
18,359.339630,193.585358
19,332.754517,198.175980
20,306.467499,202.303268
21,280.168304,206.425095
22,254.229248,210.496719
23,228.667999,214.536392
24,203.280579,218.357925
25,178.135559,222.116837
26,153.046127,225.578918
27,355.604309,166.452911
28,329.239288,171.117386
29,302.940796,175.442139
30,276.753540,179.712860
31,251.014496,184.060196
32,225.408508,188.165939
33,200.136856,192.120712
34,174.850494,195.821533
35,149.672745,199.855392
36,351.766876,139.553040
37,325.518127,144.313705
38,299.347992,148.958160
39,273.482086,153.346756
40,247.795837,157.754730
41,222.334747,161.894958
42,196.758835,165.895340
43,171.595078,170.080322
44,146.455307,173.747192
45,347.767181,113.040306
46,321.754333,117.804138
47,295.815582,122.570938
48,270.179260,127.388542
49,244.549149,131.808762
50,219.233322,135.922485
51,193.587036,140.210556
52,168.313705,144.256546
53,143.354126,148.277573
