corner_index,x,y
0,156.107300,74.927498
1,175.429382,84.062195
2,195.292557,93.418602
3,215.197647,102.791290
4,235.316803,112.215454
5,255.866364,121.902473
6,276.720856,131.884750
7,297.686035,142.074066
8,318.607758,152.685806
9,146.284119,95.463760
10,165.723953,104.718575
11,185.583862,114.121773
12,205.411362,123.689705
13,225.366486,133.295319
14,245.561935,142.861710
15,266.333801,152.812622
16,287.214325,162.658218
17,308.409424,173.163269
18,136.623917,116.120026
19,156.192810,125.498047
20,176.228424,134.955414
21,195.653076,144.436401
22,215.600327,154.309555
23,235.769058,163.912857
24,256.119141,173.967560
25,276.908112,184.019440
26,298.024414,194.197006
27,127.122948,136.489258
28,146.620132,146.139511
29,166.285965,155.637558
30,186.235413,165.522995
31,206.123016,175.310532
32,226.175705,185.112289
33,246.330795,195.166489
34,266.783173,205.242020
35,287.872559,215.471527
36,118.138443,157.245926
37,137.093842,166.737823
38,156.632797,176.443024
39,176.349533,186.208908
40,196.549454,196.329651
41,216.476700,206.220627
42,236.642441,216.215485
43,257.181427,226.342529
44,278.119537,236.538895
45,109.304199,177.670715
46,127.898033,187.353073
47,147.277023,197.098373
48,166.818726,207.022598
49,186.784439,216.913147
50,206.926514,226.793640
51,227.037476,237.214005
52,247.464325,247.297272
53,268.065857,257.786560
