corner_index,x,y
0,146.192535,164.144714
1,163.427612,156.693390
2,180.387268,149.619980
3,196.737869,142.737122
4,212.578934,136.041229
5,228.950180,129.120621
6,246.390564,120.512535
7,264.176453,111.098595
8,282.153503,101.271729
9,155.331406,184.412888
10,172.604675,176.835403
11,189.643814,169.310928
12,206.080643,162.041061
13,222.595215,154.593262
14,239.345581,146.867706
15,256.644653,138.243210
16,274.309631,128.829651
17,292.085876,119.297653
18,165.259781,204.450195
19,182.483444,196.455994
20,199.431534,188.591034
21,216.273392,180.693436
22,232.869766,172.825333
23,249.763641,164.689087
24,267.088928,155.921097
25,284.587585,146.770050
26,302.301880,137.223434
27,175.818573,224.162674
28,192.830292,215.773773
29,209.923050,207.733185
30,226.624954,199.533539
31,243.552505,191.349991
32,260.428894,182.775284
33,277.667358,173.946396
34,295.128845,164.601624
35,312.611237,155.037552
36,186.284637,243.904922
37,203.597885,235.365158
38,220.607468,226.741837
39,237.443817,218.447205
40,254.174774,209.703003
41,271.246185,201.189606
42,288.365570,191.820221
43,305.712860,182.573273
44,323.145782,173.012512
45,197.264786,263.481323
46,214.392029,254.811386
47,231.312546,246.076492
48,248.242050,237.241226
49,264.972931,228.481339
50,282.097260,219.303604
51,299.261993,209.975098
52,316.299316,200.592758
53,333.638855,190.913055
