corner_index,x,y
0,508.102234,190.210175
1,486.688843,196.340988
2,464.737396,202.296722
3,442.313080,208.211929
4,419.403656,214.319550
5,395.989563,220.324615
6,372.345825,226.415817
7,348.412903,232.456696
8,324.279114,238.660507
9,503.537842,166.822525
10,482.338226,172.640701
11,460.207031,178.560455
12,437.438507,184.509247
13,414.217346,190.291168
14,390.637756,196.322662
15,366.844818,202.365189
16,342.780304,208.363098
17,318.450195,214.313522
18,498.719696,143.268036
19,477.529816,148.960251
20,455.112701,154.773117
21,432.442474,160.409912
22,408.890961,166.281128
23,385.377869,172.117828
24,361.347076,177.866928
25,337.109833,183.834961
26,312.605774,190.000458
27,492.906891,119.642639
28,470.180695,126.172691
29,447.331299,132.399902
30,425.076294,137.441269
31,402.780731,142.295700
32,379.574188,147.668640
33,355.406403,153.535660
34,331.239288,159.360687
35,306.675629,165.402573
36,485.694000,96.634293
37,462.746765,103.391014
38,439.821625,109.723495
39,417.338806,115.085701
40,394.815521,120.059349
41,373.084808,123.796585
42,349.320831,129.223648
43,325.155457,134.977356
44,300.730408,140.934418
45,478.647125,73.779594
46,455.635162,80.480888
47,432.587250,87.237755
48,409.829865,92.946732
49,387.886230,97.381737
50,366.677826,100.426643
51,343.198303,105.260498
52,319.069153,110.907257
53,294.716583,116.840103
