corner_index,x,y
0,183.237732,113.741013
1,210.551163,118.330315
2,237.501328,123.669609
3,263.436859,129.518997
4,287.929474,136.070587
5,310.536530,143.070847
6,332.202240,149.959290
7,354.433502,156.323212
8,377.643433,161.794449
9,180.435379,138.248260
10,207.769852,143.747284
11,234.462997,149.613678
12,260.030792,155.781998
13,284.195862,162.517532
14,306.565887,169.273209
15,328.859406,175.544891
16,351.383118,181.601257
17,374.321747,187.324509
18,177.049194,164.762115
19,204.328079,170.593658
20,230.633942,176.807755
21,256.249817,182.752930
22,280.240936,189.214905
23,302.843903,195.541245
24,325.598480,201.583054
25,348.601593,207.334869
26,371.141968,212.587814
27,173.160095,192.429901
28,200.211395,198.395859
29,226.774872,204.328842
30,252.219742,210.313095
31,276.419464,216.453201
32,299.519745,222.322815
33,322.518280,228.037735
34,345.501953,233.398758
35,368.471649,238.474121
36,169.033051,220.758453
37,196.266861,226.623337
38,222.663712,232.429092
39,248.225006,238.134766
40,272.442871,244.053162
41,295.845154,249.379868
42,319.433136,254.703796
43,342.714020,259.677887
44,365.760956,264.385376
45,164.786041,249.413376
46,192.263931,255.091858
47,218.800156,260.666718
48,244.373306,266.083588
49,268.627716,271.556580
50,292.520844,276.713409
51,316.484406,281.607300
52,340.047577,286.229034
53,363.188660,290.663879
