corner_index,x,y
0,509.858978,265.528046
1,483.543182,264.031433
2,457.393860,262.524750
3,431.697510,260.997894
4,406.479401,259.498138
5,381.850037,257.934692
6,357.506256,256.521667
7,333.548340,255.230270
8,310.312561,253.703659
9,511.448608,238.428284
10,484.925476,237.138855
11,458.823792,235.654312
12,433.326233,234.560974
13,408.100159,233.385468
14,383.541840,232.056107
15,358.935394,230.785797
16,335.189484,229.548141
17,311.530914,228.550705
18,512.294067,211.366379
19,486.208679,210.224915
20,460.264435,209.304352
21,434.460449,208.133286
22,409.404663,207.210739
23,384.491302,206.166946
24,360.149231,205.317612
25,335.947418,204.349365
26,312.326935,203.507462
27,513.357788,183.855576
28,487.164307,183.240479
29,461.373230,182.483902
30,435.679626,181.542664
31,410.460541,180.762589
32,385.376587,180.224869
33,360.580475,179.433975
34,336.477112,178.525696
35,312.530792,177.965958
36,514.340576,156.615860
37,488.225372,156.355515
38,462.112854,155.650223
39,436.252228,155.230392
40,410.653595,154.536819
41,385.654968,154.189667
42,361.007965,153.467438
43,336.676514,153.192413
44,312.792969,152.533356
45,515.031250,129.505554
46,488.858704,129.336441
47,462.701599,129.138107
48,436.606384,128.562469
49,411.070282,128.431488
50,385.914886,128.125443
51,361.342255,127.655937
52,337.003967,127.414978
53,313.306549,127.340294
