corner_index,x,y
0,440.268555,236.782288
1,422.783417,238.888947
2,404.758026,240.916565
3,386.239502,242.841217
4,366.512024,244.964386
5,345.913025,246.898849
6,324.599243,249.030533
7,302.757935,251.119064
8,280.128296,253.087143
9,440.448547,214.119141
10,423.389679,215.817581
11,405.301392,217.598694
12,386.459412,219.300781
13,366.475006,221.107834
14,345.571777,222.719284
15,324.512695,224.379379
16,302.524078,226.070694
17,279.597778,227.956818
18,440.522217,191.408081
19,423.472015,192.865829
20,405.214020,194.272858
21,386.439636,195.545059
22,366.503510,196.879669
23,345.531219,198.315964
24,323.936554,199.669891
25,301.703918,201.255157
26,279.050629,202.632660
27,439.763672,168.453583
28,420.735748,169.638412
29,401.710449,170.886703
30,383.340271,171.829285
31,364.884308,172.642319
32,345.120575,173.565018
33,323.432892,174.752121
34,300.937805,175.942749
35,278.004211,177.257263
36,437.798981,145.603928
37,418.258698,146.710541
38,398.884766,147.598221
39,379.994720,148.497726
40,361.139526,149.089981
41,343.156860,149.381760
42,322.252533,149.887222
43,299.715363,150.633179
44,276.826996,151.505798
45,435.786987,122.833916
46,416.113556,123.690819
47,396.276550,124.541794
48,376.793274,125.257652
49,358.617584,125.299278
50,341.118866,124.762810
51,320.577606,125.168137
52,298.511658,125.574852
53,275.582214,126.352211
