corner_index,x,y
0,236.673859,289.644684
1,214.519012,280.482239
2,192.837265,271.207642
3,172.273193,262.368134
4,151.855713,253.637405
5,131.132431,245.085251
6,110.550117,236.621796
7,89.589775,228.282104
8,68.730537,220.369476
9,245.752838,265.537140
10,223.908615,256.395142
11,202.299438,247.543488
12,180.884521,238.824982
13,159.930832,230.299408
14,139.102707,221.846100
15,117.956642,213.591034
16,96.859741,205.584946
17,75.822762,197.629410
18,254.550598,241.032074
19,232.615311,232.419006
20,210.871735,223.582336
21,189.087219,215.148270
22,168.020035,206.680130
23,146.756882,198.707047
24,125.387955,190.549286
25,104.041710,182.542419
26,82.745628,174.661301
27,263.747986,216.303421
28,241.454041,207.868484
29,219.246368,199.471008
30,197.511185,191.096329
31,175.849503,183.230331
32,154.546265,175.302582
33,132.737503,167.264297
34,111.187866,159.425537
35,89.523384,151.656128
36,272.815308,191.700592
37,250.120178,183.404434
38,227.836060,175.201950
39,205.755493,167.298111
40,184.126709,159.477325
41,162.214188,151.497711
42,140.198181,143.738617
43,118.003433,136.115051
44,96.565018,128.488113
45,281.297333,166.800812
46,258.661560,158.850662
47,236.319794,151.046341
48,214.219193,143.280853
49,192.168930,135.527481
50,169.738449,127.775513
51,147.384064,120.346603
52,125.051666,112.670067
53,103.038864,105.485405
