corner_index,x,y
0,361.087219,258.645752
1,334.735535,257.591461
2,309.057404,256.235077
3,284.357910,254.896378
4,260.266815,253.643188
5,237.148331,252.167191
6,214.938385,250.747543
7,193.336517,249.605133
8,172.725815,248.164444
9,361.868439,231.213882
10,335.251923,230.122192
11,309.575104,229.268646
12,285.044800,228.015259
13,260.992645,227.203751
14,238.235992,226.029022
15,215.836288,225.223175
16,194.656708,224.170837
17,173.844833,223.456497
18,362.707275,203.609924
19,336.119934,202.693359
20,310.719238,202.165314
21,285.719360,201.515884
22,262.460663,200.569733
23,239.379654,200.070053
24,217.378006,199.472290
25,196.241669,198.905777
26,175.728836,198.281570
27,364.083710,175.889130
28,339.492493,176.525635
29,315.196228,176.907776
30,290.124023,176.118393
31,265.055145,174.609955
32,241.245911,173.905380
33,219.423416,173.949585
34,198.557556,173.746704
35,178.162262,173.674103
36,366.128540,149.361053
37,342.585449,150.674332
38,318.702728,151.735703
39,294.335876,151.638397
40,269.691925,150.687668
41,244.980835,148.990585
42,222.398224,148.588745
43,201.327042,148.841309
44,181.089767,149.251099
45,368.029785,122.811287
46,344.933228,124.917465
47,322.217133,126.655273
48,298.269836,127.571663
49,273.753143,126.620567
50,248.741776,124.404129
51,225.805038,124.295586
52,204.460037,124.539215
53,184.041641,125.224304
