corner_index,x,y
0,215.141174,222.955063
1,226.931381,206.326309
2,238.152374,190.839249
3,248.927582,175.837799
4,259.486786,161.502014
5,270.216156,146.537888
6,281.140991,129.606903
7,292.157684,111.695412
8,303.269196,93.547203
9,235.380600,235.241837
10,246.702606,218.844147
11,257.642212,203.348282
12,268.120392,188.271545
13,278.822357,172.851105
14,289.431549,157.338043
15,300.303955,140.359955
16,311.231995,122.563225
17,322.011017,104.606773
18,255.601990,247.926819
19,266.683899,231.406693
20,277.222565,215.742218
21,287.797821,199.726395
22,298.323700,184.308517
23,308.776550,168.023026
24,319.505219,150.932098
25,330.206818,133.428680
26,340.854095,115.519501
27,275.983948,260.631409
28,286.720367,244.143982
29,297.310303,227.801300
30,307.706207,211.556992
31,318.122711,195.290802
32,328.410034,178.823502
33,338.864563,161.676926
34,349.439178,144.186523
35,359.920685,126.391182
36,296.276794,273.504425
37,307.144867,256.507050
38,317.597168,239.457550
39,327.693451,222.854614
40,338.037689,206.445755
41,348.117889,189.712784
42,358.460358,172.480423
43,368.712708,154.917603
44,378.931946,137.181503
45,317.205780,285.358917
46,327.683777,268.283752
47,337.803253,251.115784
48,347.903442,234.297165
49,357.800415,217.564468
50,367.790588,200.572342
51,377.843933,183.254730
52,387.879974,165.656952
53,398.067261,147.934784
