corner_index,x,y
0,271.633606,125.003128
1,298.853516,125.545425
2,326.333008,127.279282
3,353.674286,129.588028
4,380.416962,132.495758
5,406.541565,135.658829
6,432.759979,138.628479
7,459.482300,140.832336
8,486.587280,142.554535
9,269.160187,149.285675
10,296.849792,151.233231
11,324.285736,153.669388
12,351.631989,156.354782
13,378.383667,159.420761
14,404.461365,162.478638
15,430.896149,165.188339
16,457.644196,167.594681
17,484.824219,169.469055
18,266.717346,175.824188
19,294.545868,178.265320
20,322.276428,180.902847
21,349.540894,183.793945
22,376.176056,186.597244
23,402.458771,189.459381
24,428.978333,192.104874
25,455.767303,194.415070
26,482.874573,196.500717
27,264.288391,203.357407
28,292.236237,205.925476
29,319.945251,208.543213
30,347.243439,211.260406
31,374.029510,214.001434
32,400.438568,216.702805
33,427.150574,219.116928
34,453.989685,221.440765
35,481.045990,223.476364
36,261.856354,231.438522
37,289.924347,233.864487
38,317.833069,236.394073
39,344.960236,239.072540
40,371.874268,241.586884
41,398.450653,243.927505
42,425.301605,246.382980
43,452.131836,248.485474
44,479.276489,250.665298
45,259.656158,259.574493
46,287.759766,261.819244
47,315.630249,264.440552
48,342.896088,266.909241
49,369.848267,269.185516
50,396.585388,271.364197
51,423.434387,273.623047
52,450.376526,275.702209
53,477.561432,277.738617
