corner_index,x,y
0,179.216660,146.538544
1,201.262283,146.466049
2,223.503448,146.391296
3,245.841873,146.318008
4,268.539215,146.245865
5,291.180939,146.219788
6,313.739014,146.169525
7,336.579407,146.330734
8,359.135773,146.467682
9,179.163773,168.994171
10,201.292389,168.895966
11,223.547256,168.878235
12,245.869385,168.671921
13,268.601868,168.717392
14,290.999969,168.847885
15,313.662262,168.802917
16,336.508270,168.939240
17,359.156769,169.047363
18,179.237091,191.488403
19,201.361282,191.490479
20,223.564697,191.405121
21,245.885269,191.461349
22,268.477448,191.367661
23,290.964783,191.603668
24,313.543915,191.772003
25,336.328247,191.815964
26,359.163483,191.883545
27,179.315079,213.838943
28,201.449951,213.846069
29,223.527161,213.938156
30,245.806808,213.941986
31,268.516418,213.952972
32,290.916199,214.120285
33,313.458435,214.328964
34,336.214752,214.396698
35,358.908234,214.426727
36,179.511078,235.989182
37,201.559097,236.212540
38,223.684738,236.195007
39,246.029312,236.363861
40,268.582062,236.401413
41,290.968964,236.595627
42,313.367432,236.711472
43,335.969757,236.994873
44,358.675690,237.048721
45,179.597275,258.003235
46,201.707428,258.257568
47,223.827728,258.341095
48,246.116180,258.637115
49,268.535065,258.816071
50,290.927307,258.963013
51,313.340515,259.333282
52,335.809143,259.185974
53,358.546906,259.368134
