corner_index,x,y
0,330.929260,277.695862
1,307.518341,268.789185
2,284.680756,260.042114
3,262.436554,251.491241
4,240.718719,243.022659
5,218.539017,234.579407
6,196.466827,226.461380
7,174.067734,218.225220
8,152.002151,210.150970
9,340.040833,253.397400
10,316.770996,244.583435
11,293.747650,236.165802
12,271.234222,227.571014
13,248.681061,219.276688
14,226.693542,211.038193
15,204.134171,202.756073
16,181.648438,194.685501
17,159.211090,186.948044
18,348.704102,228.598129
19,325.434845,220.276978
20,302.431763,211.757492
21,279.455750,203.514633
22,256.988251,195.306122
23,234.477982,187.339401
24,211.798843,179.142609
25,189.105469,171.282654
26,166.453613,163.532700
27,357.558136,203.910278
28,334.157135,195.639481
29,310.839233,187.460678
30,288.086151,179.395874
31,265.037964,171.371658
32,242.463837,163.345749
33,219.366669,155.551483
34,196.576843,147.544617
35,173.554977,139.915283
36,366.420197,179.256409
37,342.672119,171.190521
38,319.287140,162.982315
39,296.261597,155.253601
40,273.288422,147.221832
41,250.203323,139.442139
42,226.904800,131.460358
43,203.768707,123.785339
44,180.701630,116.168610
45,374.641602,154.391830
46,351.169922,146.572388
47,327.585480,138.591751
48,304.496185,130.838547
49,281.313904,123.237129
50,257.787109,115.426468
51,234.425446,107.648781
52,210.974213,100.096375
53,187.736923,92.525299
