corner_index,x,y
0,436.334137,195.621964
1,417.569611,203.512436
2,398.165405,211.498077
3,377.963318,219.558685
4,357.151978,227.748520
5,335.775452,236.174088
6,313.901306,244.634689
7,291.564972,253.292816
8,268.527588,261.822693
9,430.265137,173.338501
10,411.452545,181.161636
11,391.757355,188.809158
12,371.361145,196.706711
13,350.104614,204.623947
14,328.531525,212.738663
15,306.283600,221.244247
16,283.915588,229.668884
17,260.652527,238.354401
18,423.552979,151.138092
19,404.992004,158.422226
20,384.887360,166.111038
21,364.551147,173.526398
22,343.100677,181.505066
23,321.033875,189.506653
24,298.736450,197.665405
25,275.924377,206.093445
26,252.559601,214.392883
27,416.365387,128.466599
28,395.748291,136.430267
29,375.175568,144.266190
30,354.808228,151.356201
31,334.654541,158.318512
32,313.298737,165.987228
33,290.539490,173.957077
34,267.689240,182.170914
35,244.266922,190.551315
36,407.552277,106.669487
37,386.602692,114.540192
38,365.710785,122.247650
39,345.143036,129.392105
40,324.457977,136.435867
41,304.433990,142.779770
42,282.347992,150.404739
43,259.394226,158.444702
44,235.822403,166.593002
45,399.000549,84.840332
46,377.693878,92.602272
47,356.424957,100.413231
48,335.574432,107.601601
49,315.295166,114.257484
50,295.660461,119.812828
51,273.644196,127.072067
52,250.776459,134.847656
53,227.577789,142.772919
