corner_index,x,y
0,370.839691,253.894958
1,346.865540,253.233383
2,322.598938,252.278687
3,297.600922,251.344940
4,272.486725,250.096420
5,247.276001,249.274704
6,221.664352,247.819138
7,196.625702,246.757706
8,171.305283,245.615768
9,372.542145,229.079636
10,348.598358,228.012543
11,324.048981,227.054581
12,299.122681,225.903503
13,273.585602,224.712494
14,248.421265,223.590652
15,223.145355,222.396469
16,197.592300,221.211548
17,172.228043,219.936630
18,373.664276,203.990540
19,349.931580,202.717789
20,325.277802,201.770355
21,300.530823,200.301178
22,275.082275,199.157928
23,249.598999,197.915924
24,224.425735,196.768661
25,198.869827,195.596710
26,173.491058,194.360947
27,374.565552,178.961807
28,349.513031,178.527313
29,324.686127,177.872192
30,300.370239,176.203903
31,275.801819,174.032547
32,250.981674,172.395554
33,225.422348,171.376816
34,200.248947,170.029007
35,174.897873,169.143188
36,374.226715,154.531250
37,349.340118,154.480179
38,324.569885,154.113907
39,300.114227,152.550674
40,275.520172,150.565445
41,251.751999,147.735107
42,226.634445,146.164841
43,201.543518,145.113876
44,176.340927,144.135071
45,373.724060,130.511475
46,349.087799,130.551025
47,324.437256,130.472061
48,299.772278,129.467453
49,275.851349,127.242012
50,252.763306,123.615692
51,227.881302,121.718796
52,202.875427,120.402344
53,177.782547,119.328178
