corner_index,x,y
0,299.719879,211.934891
1,310.287109,195.170914
2,320.298828,179.439194
3,329.713318,164.414825
4,338.884460,149.924179
5,348.404724,134.826004
6,358.432861,117.775650
7,368.802399,99.815224
8,379.338776,81.563591
9,320.454376,224.097290
10,330.465515,207.483185
11,339.935547,191.791321
12,349.252258,176.557327
13,358.540131,161.211273
14,367.888458,145.466202
15,377.837341,128.407547
16,387.853790,110.685242
17,398.259430,92.608963
18,341.045776,236.440704
19,350.709290,219.760208
20,359.776703,204.034088
21,369.026031,187.987823
22,378.200317,172.293671
23,387.558807,155.900635
24,397.258789,138.936417
25,407.144379,121.343925
26,417.048492,103.431198
27,361.666687,248.704956
28,370.813477,232.142471
29,379.960632,215.680038
30,388.995850,199.449371
31,398.102539,183.071060
32,407.340027,166.615036
33,416.764465,149.470535
34,426.350372,131.824722
35,436.171753,114.030022
36,382.081909,261.314087
37,391.269714,244.263657
38,400.301697,227.242447
39,409.227325,210.487701
40,418.159393,193.865631
41,427.104980,177.201859
42,436.299805,159.846298
43,445.649292,142.386856
44,455.246765,124.619232
45,402.913422,272.869568
46,411.821686,255.603363
47,420.716522,238.381760
48,429.446838,221.488327
49,438.093445,204.619385
50,446.881836,187.649460
51,455.820190,170.420090
52,465.078613,152.795517
53,474.371735,135.151123
